State,T_Score,R_Score
Resting State,0.07492320493439544,0.0
Resting State,0.03163424208341141,0.0
Resting State,0.03662912241237111,0.0
Resting State,0.07991808526335514,0.0
Resting State,0.1664960109653232,0.0
Resting State,0.03163424208341141,0.0
Resting State,0.04828384317994373,0.0
Resting State,0.03829408252202434,0.0
Resting State,0.058273603837863126,0.0
Resting State,0.09157280603092777,0.0
Resting State,0.13985664921087151,0.0
Resting State,0.058273603837863126,0.0
Resting State,0.03662912241237111,0.0
Resting State,0.12986688855295211,0.0
Resting State,0.07159328471508898,0.0
Resting State,0.03829408252202434,0.0
Resting State,0.15317633008809736,0.0
Resting State,0.09490272625023424,0.00579617687881363
Resting State,0.04828384317994373,0.01372963393480521
Resting State,0.02996928197375818,0.0
Resting State,0.056608643728209895,0.0
Resting State,0.049948803289596964,0.0
Resting State,0.08491296559231484,0.0
Resting State,0.1282019284432989,0.0
Resting State,0.05993856394751636,0.0
Resting State,0.02330944153514525,0.0
Resting State,0.06326848416682282,0.0
Resting State,0.16483105085566999,0.0
Resting State,0.03829408252202434,0.0
Resting State,0.03163424208341141,0.0
Resting State,0.0416240027413308,0.0
Resting State,0.028304321864104948,0.0
Resting State,0.03496416230271788,0.0
Resting State,0.07492320493439544,0.0
Resting State,0.10655744701780687,0.0
Resting State,0.1664960109653232,0.0
Resting State,0.056608643728209895,0.0
Resting State,0.05993856394751636,0.006345445665416283
Resting State,0.05993856394751636,0.0267835168358227
Resting State,0.02164448142549202,0.0
Resting State,0.04328896285098404,0.0
Resting State,0.12320704811433919,0.0
Resting State,0.049948803289596964,0.0
Resting State,0.05993856394751636,0.0
Resting State,0.09157280603092777,0.0
Resting State,0.06493344427647606,0.0
Resting State,0.013319680877225858,0.0
Resting State,0.03662912241237111,0.0
Resting State,0.16982593118462969,0.0
Resting State,0.13486176888191181,0.0
Resting State,0.0466188830702905,0.0
Resting State,0.02330944153514525,0.0
Resting State,0.03329920219306465,0.0
Resting State,0.056608643728209895,0.0
Resting State,0.05327872350890343,0.0
Resting State,0.1714908912942829,0.0
Resting State,0.11488224756607303,0.0
Resting State,0.14651648964948444,0.0
Resting State,0.01498464098687909,0.0
Resting State,0.15817121041705706,0.0
Resting State,0.16316609074601676,0.011477134746301375
Resting State,0.03163424208341141,0.024633663040524112
Resting State,0.0882428858116213,0.0
Resting State,0.06992832460543576,0.0
Resting State,0.12487200822399241,0.0
Resting State,0.10489248690815363,0.0
Resting State,0.03496416230271788,0.0
Resting State,0.028304321864104948,0.0
Resting State,0.03662912241237111,0.0
